order_id,date,region,category,product,customer,quantity,price,revenue,cost,profit
INV5000,2025-01-01,Metro,Home,Vacuum Cleaner,Client_083,1,389.06,389.06,227.94,161.12
INV5001,2025-01-01,South-East,Health,Vitamin Pack,Client_001,7,36.3,254.1,164.16,89.94
INV5002,2025-01-01,North-West,Technology,Wireless Mouse,Client_126,6,70.38,422.28,301.72,120.56
INV5003,2025-01-01,South-East,Health,Yoga Mat,Client_018,1,37.54,37.54,22.93,14.61
INV5004,2025-01-01,Metro,Fashion,Hoodie,Client_145,6,35.87,215.22,120.67,94.55
INV5005,2025-01-01,North-East,Fashion,Hoodie,Client_056,2,38.01,76.02,51.19,24.83
INV5006,2025-01-01,South-West,Fashion,Running Shoes,Client_060,8,96.89,775.12,560.61,214.51
INV5007,2025-01-01,South-West,Health,Yoga Mat,Client_142,8,34.9,279.2,165.68,113.52
INV5008,2025-01-01,North-East,Health,Vitamin Pack,Client_016,2,38.29,76.58,55.15,21.43
INV5009,2025-01-01,Metro,Home,Air Purifier,Client_077,3,413.02,1239.06,783.11,455.95
INV5010,2025-01-01,Metro,Health,Yoga Mat,Client_101,2,31.32,62.64,44.54,18.1
INV5011,2025-01-01,South-East,Home,Blender,Client_098,2,52.61,105.22,70.83,34.39
INV5012,2025-01-01,North-East,Fashion,Hoodie,Client_121,6,27.44,164.64,97.76,66.88
INV5013,2025-01-02,South-East,Fashion,Backpack,Client_003,7,134.93,944.51,705.86,238.65
INV5014,2025-01-02,Metro,Health,Protein Powder,Client_120,7,77.85,544.95,313.07,231.88
INV5015,2025-01-02,South-East,Technology,External SSD,Client_077,1,323.99,323.99,231.32,92.67
INV5016,2025-01-02,South-West,Technology,Monitor,Client_077,3,631.76,1895.28,1216.22,679.06
INV5017,2025-01-02,South-East,Fashion,Running Shoes,Client_094,4,143.55,574.2,334.4,239.8
INV5018,2025-01-02,South-East,Fashion,Backpack,Client_099,5,117.67,588.35,352.67,235.68
INV5019,2025-01-02,North-East,Fashion,Cap,Client_095,6,30.85,185.1,102.37,82.73
INV5020,2025-01-02,South-East,Health,Yoga Mat,Client_103,7,55.63,389.41,215.41,174.0
INV5021,2025-01-02,North-East,Home,Air Purifier,Client_026,2,479.61,959.22,662.1,297.12
INV5022,2025-01-02,North-East,Home,Vacuum Cleaner,Client_137,8,363.89,2911.12,1722.72,1188.4
INV5023,2025-01-02,Metro,Fashion,Hoodie,Client_065,1,28.51,28.51,19.95,8.56
INV5024,2025-01-03,Metro,Fashion,Cap,Client_140,8,18.74,149.92,107.06,42.86
INV5025,2025-01-03,South-East,Fashion,Cap,Client_059,3,24.06,72.18,45.5,26.68
INV5026,2025-01-03,North-West,Health,Protein Powder,Client_030,1,67.09,67.09,38.22,28.87
INV5027,2025-01-03,South-West,Home,Blender,Client_131,8,78.2,625.6,460.07,165.53
INV5028,2025-01-03,Metro,Technology,Wireless Mouse,Client_126,7,87.28,610.96,355.42,255.54
INV5029,2025-01-03,North-East,Health,Protein Powder,Client_073,7,44.83,313.81,211.47,102.34
INV5030,2025-01-03,South-East,Technology,External SSD,Client_138,2,153.36,306.72,169.93,136.79
INV5031,2025-01-03,North-East,Health,Yoga Mat,Client_131,4,65.72,262.88,180.06,82.82
INV5032,2025-01-04,South-West,Technology,Gaming Laptop,Client_076,6,1092.92,6557.52,4858.14,1699.38
INV5033,2025-01-04,South-West,Technology,Gaming Laptop,Client_011,3,1850.76,5552.28,4066.05,1486.23
INV5034,2025-01-04,North-East,Home,Vacuum Cleaner,Client_097,4,204.98,819.92,468.01,351.91
INV5035,2025-01-04,North-East,Health,Yoga Mat,Client_066,7,35.9,251.3,141.61,109.69
INV5036,2025-01-04,Metro,Technology,Monitor,Client_032,6,320.15,1920.9,1266.73,654.17
INV5037,2025-01-04,South-East,Home,Vacuum Cleaner,Client_013,7,344.05,2408.35,1647.47,760.88
INV5038,2025-01-04,South-West,Technology,Gaming Laptop,Client_149,5,2147.76,10738.8,7134.06,3604.74
INV5039,2025-01-05,South-West,Health,Vitamin Pack,Client_061,8,56.73,453.84,292.39,161.45
INV5040,2025-01-05,South-East,Home,Blender,Client_082,3,142.23,426.69,257.94,168.75
INV5041,2025-01-05,South-West,Home,Blender,Client_099,3,98.24,294.72,178.59,116.13
INV5042,2025-01-05,Metro,Home,Air Purifier,Client_069,6,335.73,2014.38,1375.99,638.39
INV5043,2025-01-05,North-West,Fashion,Backpack,Client_050,7,120.89,846.23,599.91,246.32
INV5044,2025-01-05,North-East,Home,Microwave,Client_072,3,226.09,678.27,489.76,188.51
INV5045,2025-01-05,South-East,Health,Vitamin Pack,Client_042,1,35.51,35.51,24.59,10.92
INV5046,2025-01-05,North-West,Health,Yoga Mat,Client_036,1,66.04,66.04,47.82,18.22
INV5047,2025-01-05,Metro,Health,Yoga Mat,Client_145,1,69.09,69.09,49.9,19.19
INV5048,2025-01-05,South-East,Health,Vitamin Pack,Client_078,2,15.99,31.98,21.04,10.94
INV5049,2025-01-05,South-East,Technology,Monitor,Client_094,7,617.53,4322.71,2697.57,1625.14
INV5050,2025-01-05,North-West,Technology,External SSD,Client_011,4,289.2,1156.8,675.29,481.51
INV5051,2025-01-05,North-West,Fashion,Cap,Client_022,7,27.72,194.04,136.83,57.21
INV5052,2025-01-05,North-West,Health,Yoga Mat,Client_113,4,22.1,88.4,59.81,28.59
INV5053,2025-01-05,North-East,Technology,Wireless Mouse,Client_093,4,116.8,467.2,283.95,183.25
INV5054,2025-01-06,South-East,Home,Air Purifier,Client_055,7,232.67,1628.69,899.81,728.88
INV5055,2025-01-06,North-East,Health,Protein Powder,Client_058,8,92.86,742.88,460.42,282.46
INV5056,2025-01-06,South-West,Technology,External SSD,Client_002,5,250.76,1253.8,878.11,375.69
INV5057,2025-01-06,North-West,Home,Microwave,Client_073,6,288.93,1733.58,1276.93,456.65
INV5058,2025-01-06,Metro,Health,Vitamin Pack,Client_120,7,58.82,411.74,268.75,142.99
INV5059,2025-01-06,South-East,Home,Blender,Client_146,7,166.19,1163.33,851.97,311.36
INV5060,2025-01-06,South-East,Health,Vitamin Pack,Client_093,4,34.75,139.0,98.36,40.64
INV5061,2025-01-07,South-East,Home,Air Purifier,Client_135,5,380.96,1904.8,1235.86,668.94
INV5062,2025-01-07,Metro,Home,Air Purifier,Client_043,8,463.06,3704.48,2655.26,1049.22
INV5063,2025-01-07,North-West,Technology,Gaming Laptop,Client_079,4,1525.26,6101.04,3625.42,2475.62
INV5064,2025-01-07,South-West,Fashion,Running Shoes,Client_069,1,76.52,76.52,47.11,29.41
INV5065,2025-01-07,Metro,Health,Protein Powder,Client_089,5,57.21,286.05,166.06,119.99
INV5066,2025-01-07,North-East,Technology,Gaming Laptop,Client_057,4,1620.67,6482.68,4116.37,2366.31
INV5067,2025-01-07,North-West,Fashion,Backpack,Client_102,6,114.78,688.68,513.96,174.72
INV5068,2025-01-08,North-West,Fashion,Cap,Client_034,6,26.42,158.52,116.92,41.6
INV5069,2025-01-08,North-East,Technology,Gaming Laptop,Client_070,8,1244.97,9959.76,7117.2,2842.56
INV5070,2025-01-08,South-West,Health,Yoga Mat,Client_121,6,42.52,255.12,184.44,70.68
INV5071,2025-01-08,South-West,Home,Blender,Client_139,8,168.24,1345.92,891.39,454.53
INV5072,2025-01-08,North-East,Health,Protein Powder,Client_103,4,86.81,347.24,243.05,104.19
INV5073,2025-01-08,North-East,Technology,Mechanical Keyboard,Client_100,4,151.79,607.16,453.77,153.39
INV5074,2025-01-08,South-East,Technology,External SSD,Client_132,6,142.49,854.94,615.11,239.83
INV5075,2025-01-08,Metro,Home,Vacuum Cleaner,Client_131,7,402.86,2820.02,2019.44,800.58
INV5076,2025-01-08,South-West,Home,Air Purifier,Client_065,5,295.15,1475.75,939.05,536.7
INV5077,2025-01-08,Metro,Home,Microwave,Client_029,8,274.09,2192.72,1359.86,832.86
INV5078,2025-01-08,South-West,Health,Protein Powder,Client_053,5,73.42,367.1,252.56,114.54
INV5079,2025-01-08,North-East,Home,Air Purifier,Client_010,3,156.94,470.82,324.98,145.84
INV5080,2025-01-09,Metro,Home,Blender,Client_072,3,141.07,423.21,313.62,109.59
INV5081,2025-01-09,South-West,Health,Vitamin Pack,Client_121,4,23.78,95.12,66.65,28.47
INV5082,2025-01-09,North-West,Health,Protein Powder,Client_075,7,39.26,274.82,165.59,109.23
INV5083,2025-01-09,North-East,Technology,Gaming Laptop,Client_014,5,1592.47,7962.35,5774.19,2188.16
INV5084,2025-01-09,North-West,Technology,External SSD,Client_054,8,80.6,644.8,361.39,283.41
INV5085,2025-01-09,North-East,Home,Blender,Client_022,1,152.53,152.53,84.96,67.57
INV5086,2025-01-10,South-West,Fashion,Backpack,Client_089,1,63.42,63.42,46.89,16.53
INV5087,2025-01-10,North-East,Fashion,Backpack,Client_047,6,126.4,758.4,539.39,219.01
INV5088,2025-01-10,South-West,Fashion,Cap,Client_109,5,23.05,115.25,75.78,39.47
INV5089,2025-01-10,South-West,Fashion,Hoodie,Client_042,6,35.29,211.74,119.18,92.56
INV5090,2025-01-10,South-West,Technology,Monitor,Client_074,2,409.4,818.8,491.65,327.15
INV5091,2025-01-10,South-East,Health,Yoga Mat,Client_108,8,45.1,360.8,203.78,157.02
INV5092,2025-01-10,North-East,Health,Vitamin Pack,Client_098,6,37.37,224.22,160.16,64.06
INV5093,2025-01-10,North-West,Fashion,Running Shoes,Client_087,8,170.07,1360.56,980.35,380.21
INV5094,2025-01-10,Metro,Health,Vitamin Pack,Client_055,6,23.95,143.7,100.57,43.13
INV5095,2025-01-11,South-East,Health,Yoga Mat,Client_016,2,57.41,114.82,85.4,29.42
INV5096,2025-01-11,Metro,Home,Vacuum Cleaner,Client_121,1,625.28,625.28,399.95,225.33
INV5097,2025-01-11,South-East,Health,Protein Powder,Client_133,1,101.04,101.04,63.4,37.64
