order_id,date,region,category,product,customer,quantity,price,revenue,cost,profit
ORD1000,2025-07-01,Central,Apparel,Jeans,Customer_012,1,43.39,43.39,31.2,12.19
ORD1001,2025-07-01,Central,Groceries,Coffee Beans,Customer_004,2,8.51,17.02,10.35,6.67
ORD1002,2025-07-01,North,Furniture,Sofa,Customer_098,5,498.4,2492.0,1543.91,948.09
ORD1003,2025-07-01,East,Furniture,Sofa,Customer_014,2,606.23,1212.46,732.12,480.34
ORD1004,2025-07-01,North,Electronics,Smartwatch,Customer_094,3,129.01,387.03,271.28,115.75
ORD1005,2025-07-01,East,Groceries,Organic Tea,Customer_107,4,8.0,32.0,18.23,13.77
ORD1006,2025-07-01,East,Apparel,Jeans,Customer_011,1,72.27,72.27,51.7,20.57
ORD1007,2025-07-02,East,Furniture,Office Chair,Customer_021,4,201.64,806.56,571.79,234.77
ORD1008,2025-07-02,North,Apparel,Jacket,Customer_078,3,81.43,244.29,177.22,67.07
ORD1009,2025-07-02,Central,Furniture,Standing Desk,Customer_029,4,223.53,894.12,552.11,342.01
ORD1010,2025-07-02,West,Apparel,T-Shirt,Customer_035,1,16.87,16.87,12.67,4.2
ORD1011,2025-07-02,East,Electronics,Smartphone,Customer_028,5,1121.82,5609.1,4313.91,1295.19
ORD1012,2025-07-02,South,Groceries,Snack Box,Customer_032,4,18.27,73.08,42.8,30.28
ORD1013,2025-07-02,South,Apparel,Sneakers,Customer_066,4,165.7,662.8,424.52,238.28
ORD1014,2025-07-03,West,Electronics,Smartphone,Customer_049,4,864.7,3458.8,2418.05,1040.75
ORD1015,2025-07-03,North,Groceries,Organic Tea,Customer_088,5,10.02,50.1,38.34,11.76
ORD1016,2025-07-04,West,Electronics,Tablet,Customer_021,3,725.61,2176.83,1257.96,918.87
ORD1017,2025-07-04,South,Groceries,Coffee Beans,Customer_065,3,24.21,72.63,57.59,15.04
ORD1018,2025-07-04,South,Electronics,Headphones,Customer_048,5,260.42,1302.1,914.39,387.71
ORD1019,2025-07-04,East,Furniture,Office Chair,Customer_113,4,271.66,1086.64,602.94,483.7
ORD1020,2025-07-04,North,Apparel,Jeans,Customer_094,5,33.48,167.4,131.7,35.7
ORD1021,2025-07-04,South,Groceries,Coffee Beans,Customer_085,5,24.63,123.15,91.31,31.84
ORD1022,2025-07-04,West,Groceries,Organic Tea,Customer_028,5,8.64,43.2,33.18,10.02
ORD1023,2025-07-04,Central,Furniture,Bookshelf,Customer_058,3,103.84,311.52,205.46,106.06
ORD1024,2025-07-05,North,Apparel,T-Shirt,Customer_010,2,27.65,55.3,38.55,16.75
ORD1025,2025-07-05,North,Electronics,Smartphone,Customer_066,1,360.66,360.66,275.87,84.79
ORD1026,2025-07-05,Central,Furniture,Bookshelf,Customer_074,2,147.04,294.08,201.39,92.69
ORD1027,2025-07-05,North,Groceries,Coffee Beans,Customer_085,4,21.34,85.36,51.01,34.35
ORD1028,2025-07-05,North,Groceries,Snack Box,Customer_087,4,11.35,45.4,34.77,10.63
ORD1029,2025-07-05,North,Electronics,Laptop,Customer_032,3,1022.1,3066.3,2300.18,766.12
ORD1030,2025-07-05,East,Furniture,Standing Desk,Customer_060,2,391.33,782.66,513.01,269.65
ORD1031,2025-07-05,Central,Furniture,Office Chair,Customer_108,5,221.8,1109.0,637.1,471.9
ORD1032,2025-07-05,West,Electronics,Laptop,Customer_062,2,1441.09,2882.18,1705.03,1177.15
ORD1033,2025-07-06,West,Furniture,Sofa,Customer_034,2,1112.2,2224.4,1434.17,790.23
ORD1034,2025-07-06,West,Groceries,Snack Box,Customer_020,5,11.35,56.75,40.6,16.15
ORD1035,2025-07-06,Central,Furniture,Bookshelf,Customer_008,1,74.83,74.83,51.99,22.84
ORD1036,2025-07-06,Central,Apparel,T-Shirt,Customer_021,4,11.5,46.0,31.08,14.92
ORD1037,2025-07-06,North,Electronics,Tablet,Customer_087,2,256.08,512.16,290.46,221.7
ORD1038,2025-07-06,Central,Furniture,Sofa,Customer_006,5,407.9,2039.5,1247.26,792.24
ORD1039,2025-07-06,East,Electronics,Smartwatch,Customer_027,5,297.21,1486.05,1011.55,474.5
ORD1040,2025-07-06,East,Apparel,Jeans,Customer_059,2,45.94,91.88,65.96,25.92
ORD1041,2025-07-06,North,Apparel,T-Shirt,Customer_010,5,10.28,51.4,41.1,10.3
ORD1042,2025-07-07,South,Furniture,Bookshelf,Customer_057,2,180.94,361.88,232.47,129.41
ORD1043,2025-07-07,North,Apparel,T-Shirt,Customer_113,5,30.04,150.2,93.85,56.35
ORD1044,2025-07-07,South,Furniture,Bookshelf,Customer_035,1,58.47,58.47,43.01,15.46
ORD1045,2025-07-07,East,Apparel,Jeans,Customer_065,2,73.06,146.12,105.48,40.64
ORD1046,2025-07-08,West,Groceries,Snack Box,Customer_107,1,18.58,18.58,10.65,7.93
ORD1047,2025-07-08,East,Apparel,T-Shirt,Customer_021,2,10.11,20.22,14.34,5.88
ORD1048,2025-07-08,North,Groceries,Organic Tea,Customer_114,5,17.29,86.45,47.76,38.69
ORD1049,2025-07-08,West,Furniture,Office Chair,Customer_017,5,347.07,1735.35,1194.15,541.2
ORD1050,2025-07-08,South,Electronics,Headphones,Customer_088,1,141.16,141.16,109.36,31.8
ORD1051,2025-07-08,West,Furniture,Office Chair,Customer_080,5,193.18,965.9,744.74,221.16
ORD1052,2025-07-08,North,Furniture,Standing Desk,Customer_023,2,539.07,1078.14,830.55,247.59
ORD1053,2025-07-09,North,Groceries,Organic Tea,Customer_049,2,19.83,39.66,24.46,15.2
ORD1054,2025-07-09,South,Electronics,Smartwatch,Customer_029,4,166.73,666.92,425.1,241.82
ORD1055,2025-07-09,East,Electronics,Smartphone,Customer_045,3,658.62,1975.86,1513.68,462.18
ORD1056,2025-07-09,North,Groceries,Organic Tea,Customer_015,5,21.7,108.5,68.66,39.84
ORD1057,2025-07-09,Central,Apparel,Jeans,Customer_056,3,64.84,194.52,108.85,85.67
ORD1058,2025-07-09,Central,Apparel,Jacket,Customer_025,5,115.46,577.3,334.21,243.09
ORD1059,2025-07-09,Central,Apparel,T-Shirt,Customer_088,1,31.26,31.26,21.26,10.0
ORD1060,2025-07-10,North,Furniture,Bookshelf,Customer_093,3,109.01,327.03,230.81,96.22
ORD1061,2025-07-10,East,Apparel,Jacket,Customer_071,3,150.03,450.09,292.83,157.26
ORD1062,2025-07-10,South,Furniture,Standing Desk,Customer_079,4,339.2,1356.8,975.99,380.81
ORD1063,2025-07-10,South,Apparel,Sneakers,Customer_056,1,116.71,116.71,73.06,43.65
ORD1064,2025-07-10,South,Apparel,Sneakers,Customer_085,2,101.85,203.7,138.07,65.63
ORD1065,2025-07-11,South,Apparel,T-Shirt,Customer_104,2,34.55,69.1,49.63,19.47
ORD1066,2025-07-11,Central,Furniture,Standing Desk,Customer_109,2,160.99,321.98,256.29,65.69
ORD1067,2025-07-11,West,Electronics,Smartwatch,Customer_064,5,224.33,1121.65,671.43,450.22
ORD1068,2025-07-11,North,Groceries,Coffee Beans,Customer_100,1,10.51,10.51,8.13,2.38
ORD1069,2025-07-11,Central,Groceries,Coffee Beans,Customer_032,5,10.99,54.95,36.6,18.35
ORD1070,2025-07-11,Central,Electronics,Smartwatch,Customer_077,4,140.0,560.0,401.46,158.54
ORD1071,2025-07-11,Central,Apparel,Sneakers,Customer_058,5,125.77,628.85,412.96,215.89
ORD1072,2025-07-11,East,Furniture,Sofa,Customer_099,2,705.06,1410.12,1071.64,338.48
ORD1073,2025-07-11,East,Groceries,Organic Tea,Customer_031,4,9.83,39.32,22.39,16.93
ORD1074,2025-07-11,South,Apparel,Jacket,Customer_030,5,97.96,489.8,279.26,210.54
ORD1075,2025-07-11,West,Groceries,Organic Tea,Customer_043,2,8.44,16.88,9.56,7.32
